difficulty_n,split,sample_idx,target,numbers
2,train,0,67,[82 15]
2,train,1,58,[28 30]
2,train,2,87,[29 58]
2,train,3,88,[ 6 94]
2,train,4,61,[99 38]
2,test,0,5,[80 75]
2,test,1,47,[57 10]
2,test,2,78,[76  2]
2,test,3,26,[57 83]
2,test,4,71,[97 26]
3,train,0,71,[82 15  4]
3,train,1,58,[41 52 35]
3,train,2,33,[19 34 18]
3,train,3,10,[66 64 12]
3,train,4,22,[50 49 77]
3,test,0,90,[89 19 18]
3,test,1,77,[15 15 77]
3,test,2,49,[34 52 31]
3,test,3,66,[25 78 13]
3,test,4,18,[19 52 15]
4,train,0,24,[82 15  4 95]
4,train,1,71,[28 30 65 78]
4,train,2,0,[93 74 74 61]
4,train,3,2,[36 60 32 10]
4,train,4,38,[28 52  8 22]
4,test,0,38,[92  2 79 23]
4,test,1,11,[60 33 32 48]
4,test,2,34,[ 6  9  2 22]
4,test,3,94,[78 74  1 57]
4,test,4,37,[21  4 35 47]
5,train,0,3,[82 15  4 95 36]
5,train,1,99,[ 1 67 69 88 93]
5,train,2,64,[63 29 35 56 63]
5,train,3,98,[76 55 40 73 80]
5,train,4,28,[98 97 23 61 67]
5,test,0,26,[84 88 24 34 28]
5,test,1,72,[92 85 61 30 40]
5,test,2,73,[87 69 82 79 88]
5,test,3,25,[29 64 11 64  4]
5,test,4,62,[53  9 36 10 46]
